Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,go_library,input_genes,p_adj_global
GO_Biological_Process_2021,regulation of immune response (GO:0050776),18/179,9.232389209499466e-19,1.1909782080254313e-15,0,0,26.912740493864565,1117.5891972207162,IFITM1;LAG3;SH2D1A;HLA-B;HLA-C;CD3G;HLA-A;HLA-F;CD3E;CD3D;HLA-E;NCR3;CD8B;CD8A;CD247;B2M;HCST;CD99,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6737687771294718e-13
GO_Cellular_Component_2021,T cell receptor complex (GO:0042101),7/12,4.8941382288635024e-14,6.656027991254362e-12,0,0,299.494623655914,9178.95707625832,ZAP70;CD8B;CD8A;CD3G;CD247;CD3E;CD3D,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",6.330622178348593e-10
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),23/621,3.6820741327399894e-14,2.374937815617293e-11,0,0,9.64135864135864,298.2333998901201,IL32;HSPA8;IFITM1;HSP90AA1;ANXA1;HLA-B;HLA-C;HLA-A;HLA-F;IL2RG;HLA-E;RAP1B;UBB;LCK;CCL5;CFL1;UBC;CCL4;PSME1;FYN;RPS27A;B2M;PPIA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.129753759224041e-09
GO_Biological_Process_2021,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)",6/8,3.72610157581931e-13,1.6022236776023031e-10,0,0,635.0425531914893,18173.802531708883,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.2677763149834694e-08
GO_Cellular_Component_2021,MHC class I protein complex (GO:0042612),5/6,1.6876106375929977e-11,1.1475752335632382e-09,0,0,1047.3157894736842,25978.79626378276,HLA-B;HLA-C;HLA-A;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.376409611807326e-08
GO_Biological_Process_2021,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484),5/7,5.883421292650747e-11,1.5179226935038932e-08,0,0,523.6315789473684,12334.82129478757,HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.465404027836197e-07
GO_Biological_Process_2021,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)",5/7,5.883421292650747e-11,1.5179226935038932e-08,0,0,523.6315789473684,12334.82129478757,HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.465404027836197e-07
GO_Cellular_Component_2021,endocytic vesicle membrane (GO:0030666),11/158,4.0746727683042305e-10,1.6710757013080424e-08,0,0,16.60804096919667,359.08345839428495,UBB;UBC;HLA-B;HLA-C;CD3G;HLA-A;HLA-F;RPS27A;B2M;CD3D;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.0217434287997745e-06
GO_Cellular_Component_2021,MHC protein complex (GO:0042611),6/20,4.914928533258947e-10,1.6710757013080424e-08,0,0,90.66565349544074,1943.2889677930923,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.0217434287997745e-06
GO_Cellular_Component_2021,early endosome membrane (GO:0031901),9/97,1.3446573783628004e-09,3.6574680691468185e-08,0,0,22.266233766233768,454.83517590600206,ANXA1;CD8B;HLA-B;HLA-C;HLA-A;HLA-F;B2M;LITAF;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.139050890626487e-06
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),11/158,4.0746727683042305e-10,8.760546451854098e-08,0,0,16.60804096919667,359.08345839428495,ZAP70;PTPRC;LCK;PSME1;CD3G;FYN;HLA-A;CD247;CD3E;CD3D;LAT,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.852312081803423e-06
GO_Biological_Process_2021,T cell activation (GO:0042110),9/92,8.343440814219098e-10,1.5375769500489484e-07,0,0,23.613531047265987,493.62611354092286,CD2;ZAP70;PTPRC;CD8B;CD8A;LCK;CD3G;CD3E;LAT,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.179561899243445e-06
GO_Cellular_Component_2021,focal adhesion (GO:0005925),14/387,7.982414371868557e-09,1.7012250299600118e-07,0,0,8.522289419539872,158.90682087837686,HSPA8;ANXA1;ARPC5L;ACTB;ACTG1;PTPRC;YWHAQ;CFL1;ANXA6;RPS3;PFN1;B2M;PPIA;CD99,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.856554483983284e-06
