Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,17/123,3.5623382443251844e-20,2.3511432412546217e-17,0,0,38.24710161400319,1712.754347107462,IFITM1;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;CD3E;CD3D;HLA-E;NCR3;CD8B;CD8A;CD247;B2M;HCST;CD99;KLRG1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.91732228890912e-16
Reactome_2022,Adaptive Immune System R-HSA-1280218,30/733,1.213026611587842e-19,4.002987818239879e-17,0,0,11.703109124161756,509.740599928969,IFITM1;CD3E;CD3D;RAP1B;UBB;UBC;FYN;RPS27A;B2M;CD99;CTSC;KLRG1;LAG3;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;ZAP70;NCR3;PTPRC;CD8B;CD8A;LCK;PSME1;CD247;CALM1;PPIA;HCST,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6533173645126168e-15
Reactome_2022,Immune System R-HSA-168256,41/1943,1.3210168310256626e-16,2.906237028256457e-14,0,0,6.5757543353116255,240.42904089930127,IFITM1;CD3E;IL2RG;CD3D;ACTG1;RAP1B;UBB;CCL5;UBC;CCL4;FYN;RPS27A;B2M;CD99;CTSC;KLRG1;CD53;IL32;HSPA8;LAG3;HSP90AA1;ANXA1;SH2D1A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;ZAP70;NCR3;GZMM;PTPRC;CD8B;BIN2;CD8A;LCK;PSME1;CD247;CALM1;PPIA;HCST,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.010809633073408e-12
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,14/131,3.605616670488844e-15,5.156031838799047e-13,0,0,27.525541641820716,915.3972185067292,SH2D1A;PRF1;HLA-B;HLA-C;GZMB;HLA-A;HLA-E;ZAP70;NCR3;LCK;FYN;CD247;HCST;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.6097374992786e-11
KEGG_2021_Human,Antigen processing and presentation,11/78,1.636174867781349e-13,1.1698650304636643e-11,0,0,36.58611437196042,1077.140760081164,HSPA8;HSP90AA1;CD8B;CD8A;HLA-B;PSME1;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.514026398324567e-10
KEGG_2021_Human,Human immunodeficiency virus 1 infection,14/212,2.9099454651672378e-12,1.38707400506305e-10,0,0,16.19849659384543,430.2788309542311,APOBEC3G;HLA-B;HLA-C;CXCR4;CD3G;HLA-A;HLA-F;CD3E;CD3D;HLA-E;CFL1;CD247;CALM1;B2M,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",3.76695097950342e-09
KEGG_2021_Human,T cell receptor signaling pathway,11/104,4.218044989419247e-12,1.5079510837173807e-10,0,0,26.32318472876646,689.4476246616272,ZAP70;PTPRC;CD8B;CD8A;LCK;CD3G;FYN;CD247;CD3E;CD3D;LAT,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",4.067364657781915e-09
Reactome_2022,Host Interactions Of HIV Factors R-HSA-162909,12/130,2.194618640318853e-12,3.6211207565261065e-10,0,0,22.86055469953775,613.6918840881525,CD8B;UBB;APOBEC3G;LCK;UBC;PSME1;FYN;HLA-A;CD247;RPS27A;B2M;PPIA,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.343402045627286e-09
KEGG_2021_Human,Primary immunodeficiency,8/38,1.2688682572391311e-11,3.628963215703915e-10,0,0,57.594202898550726,1445.056442697466,ZAP70;PTPRC;CD8B;CD8A;LCK;CD3E;IL2RG;CD3D,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.343402045627286e-09
KEGG_2021_Human,Viral myocarditis,9/60,1.6189777622301622e-11,3.8585636666485524e-10,0,0,38.49191984486102,956.3949170128328,PRF1;HLA-B;HLA-C;FYN;HLA-A;HLA-F;ACTB;ACTG1;HLA-E,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.807182652731737e-09
