group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,CCL5,25.43606,5.795734,1.0070594023811659e-142,1.3752403198917202e-138,0.9897610921501706,0.232409381663113
0,NKG7,23.008814,5.2354,3.804328854186059e-117,2.5975957416382413e-113,0.9590443686006825,0.2162046908315565
0,B2M,19.484911,0.8033303,1.4743752135463207e-84,6.711355972062852e-81,1.0,0.9995735607675906
0,CST7,19.076283,4.319916,3.975561690992198e-81,1.3572567613047364e-77,0.7849829351535836,0.12281449893390192
0,GZMA,18.80469,4.194101,6.912573793102404e-79,1.8879621543721285e-75,0.78839590443686,0.12366737739872068
0,CTSW,18.342247,3.3967035,3.807314723374685e-75,8.665448310400783e-72,0.825938566552901,0.23368869936034115
0,IL32,17.894243,2.7048428,1.3075937974014545e-71,2.5509286996163233e-68,0.962457337883959,0.5010660980810234
0,HLA-C,16.85209,1.0101092,1.0127110600790675e-63,1.7286977795549681e-60,1.0,0.9791044776119403
0,GZMK,15.350992,5.075009,3.4881179175415605e-53,5.292637586883061e-50,0.5870307167235495,0.05373134328358209
0,HLA-A,15.314791,0.9936473,6.090780499666435e-53,8.317569850344484e-50,0.9965870307167235,0.9616204690831557
0,CD3D,14.773966,2.2149484,2.1564256530365985e-49,2.6771044288970716e-46,0.8976109215017065,0.47292110874200427
0,CD8A,13.288242,4.0210323,2.7086506890655565e-40,3.0824444841566033e-37,0.5290102389078498,0.06652452025586354
0,PTPRCAP,13.281612,1.7309914,2.9595144982186967e-40,3.1088561528980402e-37,0.9078498293515358,0.6085287846481876
0,LYAR,13.250821,3.135061,4.462941286066237e-40,4.353280443037181e-37,0.5767918088737202,0.13304904051172708
0,GZMM,12.540134,2.5199854,4.5023317238934845e-36,3.842740126343089e-33,0.6075085324232082,0.19914712153518124
0,HCST,11.969535,1.5986394,5.131572609933236e-33,4.122162091838134e-30,0.7781569965870307,0.5104477611940299
0,HLA-B,11.878502,0.73204225,1.5308592083165125e-32,1.1614118527094608e-29,0.9761092150170648,0.9445628997867804
0,MALAT1,11.861297,0.6853331,1.8804112072709127e-32,1.3515208129732415e-29,1.0,0.9995735607675906
0,KLRG1,11.60211,3.6396072,4.020401482014376e-31,2.745130131919416e-28,0.4709897610921502,0.07036247334754797
0,CD99,10.549706,1.4592986,5.0956109931565174e-26,3.1629847146611544e-23,0.7508532423208191,0.4759061833688699
0,GZMH,10.251513,4.121189,1.165061961191264e-24,6.629202559178293e-22,0.4129692832764505,0.06098081023454158
0,PRF1,9.956247,2.4723234,2.368349533558565e-23,1.2936872492110306e-20,0.4778156996587031,0.11599147121535182
0,CD8B,9.534561,2.9294596,1.5052056500604755e-21,7.341102984723519e-19,0.42662116040955633,0.08997867803837953
0,MYL12A,9.298764,0.7824468,1.420878296603609e-20,6.467838006139628e-18,0.9453924914675768,0.8652452025586354
0,LCK,9.000407,1.4987884,2.248819672155065e-19,9.306024679681688e-17,0.621160409556314,0.32878464818763325
0,RARRES3,8.784988,1.3016318,1.5638068208867595e-18,5.932040540563774e-16,0.6791808873720137,0.4460554371002132
0,CD3E,8.613825,1.3277367,7.066266015040453e-18,2.5393928605629587e-15,0.726962457337884,0.4554371002132196
0,HOPX,8.54008,2.3683076,1.3412937130624087e-17,4.579176736395063e-15,0.4197952218430034,0.11471215351812367
0,HLA-E,8.399667,0.70681465,4.47746914899256e-17,1.421960899968428e-14,0.9488054607508533,0.8797441364605544
0,MT-CYB,8.080851,0.58201617,6.431673701348085e-16,1.9093681753393358e-13,0.962457337883959,0.9275053304904051
0,DUSP2,7.451759,1.6658022,9.210390390371936e-14,2.3731526636022482e-11,0.46075085324232085,0.23411513859275054
0,APOBEC3G,7.3436832,1.8107218,2.077942668477006e-13,4.97831317205649e-11,0.4232081911262799,0.191044776119403
0,CD2,7.278724,1.3791733,3.3699170201056116e-13,7.799929970603768e-11,0.5051194539249146,0.2950959488272921
0,SAMD3,7.147016,2.4419677,8.868446046670496e-13,1.9853688395628245e-10,0.33447098976109213,0.08997867803837953
0,UBC,6.857974,0.55967873,6.984388599423653e-12,1.4451334956625668e-09,0.9010238907849829,0.8473347547974414
0,CCL4,6.7156496,2.3392122,1.8723013036028555e-11,3.6525923717143704e-09,0.3242320819112628,0.08742004264392324
0,DDX5,6.7078805,0.6720358,1.974713964836465e-11,3.798125901944615e-09,0.9010238907849829,0.8029850746268656
0,PFN1,6.580484,0.5292339,4.6891892934117804e-11,8.893829026504343e-09,0.9761092150170648,0.9415778251599147
0,CALM1,6.4730186,0.74164623,9.606402512706756e-11,1.7970552426510065e-08,0.764505119453925,0.6669509594882729
0,C12orf75,6.3171086,2.0110269,2.665023868354384e-10,4.7264371358762944e-08,0.3310580204778157,0.11343283582089553
0,CD53,6.2074466,0.7916587,5.385236386451529e-10,9.308960518149631e-08,0.6518771331058021,0.5347547974413646
0,GIMAP7,6.060729,0.8337942,1.355057828452238e-09,2.2784570215234795e-07,0.6791808873720137,0.522814498933902
0,FGFBP2,6.0591836,2.195797,1.3681420310846904e-09,2.2784570215234795e-07,0.3037542662116041,0.08571428571428572
0,IL2RG,6.026033,0.93839735,1.6803309360496838e-09,2.667924908629145e-07,0.5767918088737202,0.423454157782516
0,MT-CO3,6.023267,0.32394373,1.7093127284227534e-09,2.667924908629145e-07,0.9897610921501706,0.9786780383795309
0,HLA-F,6.0128536,1.091187,1.8228536067425412e-09,2.7637760166496626e-07,0.4778156996587031,0.3142857142857143
0,MYL12B,5.9712424,0.6114218,2.3545338498586304e-09,3.4573671240504793e-07,0.7713310580204779,0.6925373134328359
0,MT-ND2,5.950254,0.5233745,2.6772691561123464e-09,3.889445488922362e-07,0.9215017064846417,0.8899786780383795
0,ANXA1,5.849337,0.7896729,4.935353911074814e-09,6.948164227797697e-07,0.6996587030716723,0.579957356076759
0,RPS27A,5.7063212,0.6022194,1.15443978466194e-08,1.5014313999374717e-06,1.0,0.9705756929637527
0,ID2,5.627044,1.0131,1.8332371001403074e-08,2.3396902653753304e-06,0.5290102389078498,0.3697228144989339
0,TIGIT,5.609147,2.7318363,2.0332636479501236e-08,2.5473622363676044e-06,0.24573378839590443,0.04733475479744136
0,RPL23A,5.489113,0.37286395,4.039577310495936e-08,4.8035418549134855e-06,1.0,0.9901918976545843
0,RPS3,5.4888687,0.35125253,4.045161931129546e-08,4.8035418549134855e-06,1.0,0.9953091684434968
0,NCR3,5.476422,2.4044232,4.340121841695995e-08,5.109371023293148e-06,0.2627986348122867,0.07292110874200426
0,BIN2,5.474673,0.9760497,4.383206232791197e-08,5.1159884029911606e-06,0.4948805460750853,0.35394456289978676
0,CD247,5.35472,1.0678579,8.568899321075396e-08,9.591548289229968e-06,0.4300341296928328,0.24776119402985075
0,MATK,5.219595,2.5811949,1.793146790796023e-07,1.9281269744181487e-05,0.2354948805460751,0.04904051172707889
0,IFITM1,5.1977525,0.7917868,2.0171270756885443e-07,2.1520224488752156e-05,0.5972696245733788,0.46183368869936037
0,CHST12,5.1772923,1.8697997,2.2512929255940865e-07,2.3832291621637867e-05,0.2764505119453925,0.09680170575692963
0,APMAP,5.1189227,1.8146164,3.0728597756457744e-07,3.179013113349901e-05,0.27986348122866894,0.10319829424307037
0,GZMB,5.0440793,1.6272987,4.557104563869038e-07,4.6097644388293026e-05,0.28668941979522183,0.0997867803837953
0,SEPT7,5.0298834,0.9112428,4.907782276078944e-07,4.927990791333387e-05,0.4641638225255973,0.3236673773987207
0,PTPRC,5.0195518,0.7114721,5.179219312502842e-07,5.162585323469986e-05,0.5494880546075085,0.4439232409381663
0,HSP90AA1,4.9913635,0.6284092,5.99545632963651e-07,5.932895046196825e-05,0.6143344709897611,0.5275053304904052
0,LITAF,4.9386883,1.013265,7.864979804286625e-07,7.72691828829771e-05,0.4300341296928328,0.297228144989339
0,LAG3,4.926201,4.331651,8.38438061329033e-07,8.178364403935196e-05,0.18771331058020477,0.011940298507462687
0,C9orf142,4.8575807,1.2305567,1.1882861569681458e-06,0.00011268913721914583,0.3720136518771331,0.2260127931769723
